token,count_gold,count_cb1,count_cb3,count_cb4,count_cb1_residuals,count_cb3_residuals,count_cb4_residuals,status_cb1,status_cb3,status_cb4
bah,3.0,0.0,0.0,0.0,3.0,3.0,3.0,undercount,undercount,undercount
ow,4.0,0.0,2.0,2.0,4.0,2.0,2.0,undercount,undercount,undercount
i,17.0,14.0,18.0,11.0,3.0,-1.0,6.0,undercount,overcount,undercount
am,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
bad,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
mommy,4.0,2.0,3.0,2.0,2.0,1.0,2.0,undercount,undercount,undercount
you,23.0,26.0,27.0,31.0,-3.0,-4.0,-8.0,overcount,overcount,overcount
see,2.0,1.0,0.0,2.0,1.0,2.0,0.0,undercount,undercount,exact
my,6.0,7.0,6.0,6.0,-1.0,0.0,0.0,overcount,exact,exact
crack,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
sorry,1.0,2.0,1.0,1.0,-1.0,0.0,0.0,overcount,exact,exact
something,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
to,16.0,17.0,17.0,10.0,-1.0,-1.0,6.0,overcount,overcount,undercount
feel,2.0,0.0,0.0,0.0,2.0,2.0,2.0,undercount,undercount,undercount
better,2.0,0.0,2.0,0.0,2.0,0.0,2.0,undercount,exact,undercount
im,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
just,5.0,2.0,2.0,2.0,3.0,3.0,3.0,undercount,undercount,undercount
trying,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
x,3.0,0.0,0.0,0.0,3.0,3.0,3.0,undercount,undercount,undercount
for,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
come,9.0,10.0,3.0,3.0,-1.0,6.0,6.0,overcount,undercount,undercount
on,9.0,10.0,3.0,3.0,-1.0,6.0,6.0,overcount,undercount,undercount
dont,5.0,0.0,0.0,0.0,5.0,5.0,5.0,undercount,undercount,undercount
go,7.0,7.0,7.0,7.0,0.0,0.0,0.0,exact,exact,exact
weeee,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
here,1.0,2.0,1.0,1.0,-1.0,0.0,0.0,overcount,exact,exact
tyrell,1.0,0.0,3.0,0.0,1.0,-2.0,1.0,undercount,overcount,undercount
lets,2.0,0.0,0.0,0.0,2.0,2.0,2.0,undercount,undercount,undercount
get,2.0,2.0,2.0,1.0,0.0,0.0,1.0,exact,exact,undercount
some,2.0,3.0,2.0,1.0,-1.0,0.0,1.0,overcount,exact,undercount
materials,1.0,1.0,1.0,0.0,0.0,0.0,1.0,exact,exact,undercount
we,4.0,2.0,2.0,0.0,2.0,2.0,4.0,undercount,undercount,undercount
got,1.0,1.0,1.0,0.0,0.0,0.0,1.0,exact,exact,undercount
call,3.0,3.0,2.0,0.0,0.0,1.0,3.0,exact,undercount,undercount
dj,1.0,1.0,1.0,0.0,0.0,0.0,1.0,exact,exact,undercount
and,8.0,7.0,6.0,3.0,1.0,2.0,5.0,undercount,undercount,undercount
pawpaw,1.0,2.0,1.0,0.0,-1.0,0.0,1.0,overcount,exact,undercount
say,2.0,4.0,3.0,2.0,-2.0,-1.0,0.0,overcount,overcount,exact
hi,2.0,3.0,2.0,1.0,-1.0,0.0,1.0,overcount,exact,undercount
first,1.0,1.0,1.0,0.0,0.0,0.0,1.0,exact,exact,undercount
why,3.0,3.0,3.0,0.0,0.0,0.0,3.0,exact,exact,undercount
what,2.0,4.0,5.0,3.0,-2.0,-3.0,-1.0,overcount,overcount,overcount
do,3.0,4.0,4.0,2.0,-1.0,-1.0,1.0,overcount,overcount,undercount
mean,1.0,1.0,1.0,0.0,0.0,0.0,1.0,exact,exact,undercount
have,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
them,5.0,4.0,3.0,1.0,1.0,2.0,4.0,undercount,undercount,undercount
because,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
didn,2.0,3.0,4.0,4.0,-1.0,-2.0,-2.0,overcount,overcount,overcount
t,2.0,7.0,8.0,9.0,-5.0,-6.0,-7.0,overcount,overcount,overcount
talk,1.0,1.0,1.0,0.0,0.0,0.0,1.0,exact,exact,undercount
today,1.0,1.0,1.0,0.0,0.0,0.0,1.0,exact,exact,undercount
or,2.0,1.0,2.0,0.0,1.0,0.0,2.0,undercount,exact,undercount
yesterday,1.0,1.0,1.0,0.0,0.0,0.0,1.0,exact,exact,undercount
they,7.0,4.0,4.0,2.0,3.0,3.0,5.0,undercount,undercount,undercount
miss,1.0,0.0,1.0,0.0,1.0,0.0,1.0,undercount,exact,undercount
ya,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
love,1.0,0.0,1.0,0.0,1.0,0.0,1.0,undercount,exact,undercount
talking,1.0,0.0,1.0,0.0,1.0,0.0,1.0,undercount,exact,undercount
us,1.0,1.0,0.0,0.0,0.0,1.0,1.0,exact,undercount,undercount
know,14.0,7.0,15.0,5.0,7.0,-1.0,9.0,undercount,overcount,undercount
that,4.0,4.0,1.0,0.0,0.0,3.0,4.0,exact,undercount,undercount
right,2.0,1.0,1.0,0.0,1.0,1.0,2.0,undercount,undercount,undercount
if,2.0,1.0,0.0,0.0,1.0,2.0,2.0,undercount,undercount,undercount
are,5.0,2.0,2.0,2.0,3.0,3.0,3.0,undercount,undercount,undercount
there,4.0,4.0,1.0,2.0,0.0,3.0,2.0,exact,undercount,undercount
momma,2.0,0.0,0.0,0.0,2.0,2.0,2.0,undercount,undercount,undercount
m,2.0,3.0,3.0,2.0,-1.0,-1.0,0.0,overcount,overcount,exact
gonna,1.0,0.0,0.0,2.0,1.0,1.0,-1.0,undercount,undercount,overcount
okay,2.0,3.0,0.0,0.0,-1.0,2.0,2.0,overcount,undercount,undercount
press,2.0,0.0,0.0,0.0,2.0,2.0,2.0,undercount,undercount,undercount
this,3.0,4.0,3.0,2.0,-1.0,0.0,1.0,overcount,exact,undercount
button,4.0,2.0,0.0,0.0,2.0,4.0,4.0,undercount,undercount,undercount
ok,1.0,0.0,1.0,0.0,1.0,0.0,1.0,undercount,exact,undercount
thatv,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
yea,2.0,0.0,0.0,0.0,2.0,2.0,2.0,undercount,undercount,undercount
camel,1.0,1.0,0.0,0.0,0.0,1.0,1.0,exact,undercount,undercount
hey,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
little,1.0,2.0,1.0,1.0,-1.0,0.0,0.0,overcount,exact,exact
smiling,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
boy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
how,9.0,10.0,10.0,9.0,-1.0,-1.0,0.0,overcount,overcount,exact
sister,2.0,2.0,2.0,2.0,0.0,0.0,0.0,exact,exact,exact
did,8.0,11.0,10.0,9.0,-3.0,-2.0,-1.0,overcount,overcount,overcount
gone,1.0,6.0,1.0,1.0,-5.0,0.0,0.0,overcount,exact,exact
well,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
where,3.0,4.0,3.0,3.0,-1.0,0.0,0.0,overcount,exact,exact
is,3.0,2.0,5.0,3.0,1.0,-2.0,0.0,undercount,overcount,exact
she,5.0,12.0,4.0,4.0,-7.0,1.0,1.0,overcount,undercount,undercount
a,2.0,7.0,2.0,1.0,-5.0,0.0,1.0,overcount,exact,undercount
party,4.0,8.0,6.0,6.0,-4.0,-2.0,-2.0,overcount,overcount,overcount
leave,1.0,2.0,1.0,1.0,-1.0,0.0,0.0,overcount,exact,exact
home,1.0,2.0,1.0,1.0,-1.0,0.0,0.0,overcount,exact,exact
no,3.0,5.0,6.0,5.0,-2.0,-3.0,-2.0,overcount,overcount,overcount
went,3.0,3.0,3.0,3.0,0.0,0.0,0.0,exact,exact,exact
pool,2.0,1.0,2.0,2.0,1.0,0.0,0.0,undercount,exact,exact
the,7.0,8.0,8.0,7.0,-1.0,-1.0,0.0,overcount,overcount,exact
didnt,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
nope,3.0,2.0,2.0,2.0,1.0,1.0,1.0,undercount,undercount,undercount
with,1.0,1.0,0.0,0.0,0.0,1.0,1.0,exact,undercount,undercount
so,2.0,2.0,1.0,1.0,0.0,1.0,1.0,exact,undercount,undercount
wait,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
minute,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
swimming,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
breathe,2.0,2.0,2.0,1.0,0.0,0.0,1.0,exact,exact,undercount
in,2.0,4.0,4.0,3.0,-2.0,-2.0,-1.0,overcount,overcount,overcount
water,2.0,2.0,2.0,1.0,0.0,0.0,1.0,exact,exact,undercount
your,3.0,3.0,3.0,3.0,0.0,0.0,0.0,exact,exact,exact
face,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
wet,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
only,2.0,0.0,0.0,0.0,2.0,2.0,2.0,undercount,undercount,undercount
put,2.0,5.0,3.0,3.0,-3.0,-1.0,-1.0,overcount,overcount,overcount
nose,1.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,overcount,overcount,overcount
under,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
though,1.0,1.0,1.0,3.0,0.0,0.0,-2.0,exact,exact,overcount
whose,1.0,0.0,0.0,1.0,1.0,1.0,0.0,undercount,undercount,exact
was,3.0,1.0,2.0,1.0,2.0,1.0,2.0,undercount,undercount,undercount
it,7.0,5.0,8.0,6.0,2.0,-1.0,1.0,undercount,overcount,undercount
hudson,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
s,4.0,12.0,1.0,7.0,-8.0,3.0,-3.0,overcount,undercount,overcount
nooo,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
oren,2.0,0.0,0.0,3.0,2.0,2.0,-1.0,undercount,undercount,overcount
who,3.0,3.0,4.0,2.0,0.0,-1.0,1.0,exact,overcount,undercount
said,2.0,1.0,2.0,2.0,1.0,0.0,0.0,undercount,exact,exact
owen,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
oh,4.0,4.0,3.0,4.0,0.0,1.0,0.0,exact,undercount,exact
he,3.0,2.0,4.0,3.0,1.0,-1.0,0.0,undercount,overcount,exact
turn,1.0,2.0,1.0,1.0,-1.0,0.0,0.0,overcount,exact,exact
six,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
old,3.0,3.0,3.0,3.0,0.0,0.0,0.0,exact,exact,exact
uh,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
four,2.0,2.0,0.0,0.0,0.0,2.0,2.0,exact,undercount,undercount
can,1.0,1.0,1.0,11.0,0.0,0.0,-10.0,exact,exact,overcount
sing,3.0,1.0,1.0,1.0,2.0,2.0,2.0,undercount,undercount,undercount
happy,2.0,2.0,2.0,2.0,0.0,0.0,0.0,exact,exact,exact
birthday,2.0,2.0,2.0,2.0,0.0,0.0,0.0,exact,exact,exact
not,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
decorate,2.0,2.0,2.0,2.0,0.0,0.0,0.0,exact,exact,exact
eyes,1.0,0.0,0.0,0.0,1.0,1.0,1.0,undercount,undercount,undercount
cupcake,3.0,3.0,3.0,3.0,0.0,0.0,0.0,exact,exact,exact
decorated,1.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,overcount,overcount,overcount
own,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
yup,7.0,0.0,0.0,0.0,7.0,7.0,7.0,undercount,undercount,undercount
mmm,1.0,2.0,2.0,3.0,-1.0,-1.0,-2.0,overcount,overcount,overcount
make,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
good,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
yes,3.0,2.0,3.0,3.0,1.0,0.0,0.0,undercount,exact,exact
like,1.0,1.0,1.0,0.0,0.0,0.0,1.0,exact,exact,undercount
eat,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
whole,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
ate,2.0,2.0,2.0,2.0,0.0,0.0,0.0,exact,exact,exact
icing,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
candy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
all,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
of,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
decorations,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
huh,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
else,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
came,1.0,1.0,1.0,1.0,0.0,0.0,0.0,exact,exact,exact
friend,1.0,1.0,0.0,0.0,0.0,1.0,1.0,exact,undercount,undercount
baa,0.0,4.0,0.0,0.0,-4.0,0.0,0.0,overcount,exact,exact
owwww,0.0,3.0,0.0,0.0,-3.0,0.0,0.0,overcount,exact,exact
boss,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,overcount,overcount,exact
aaaah,0.0,2.0,0.0,0.0,-2.0,0.0,0.0,overcount,exact,exact
time,0.0,3.0,0.0,0.0,-3.0,0.0,0.0,overcount,exact,exact
out,0.0,3.0,0.0,0.0,-3.0,0.0,0.0,overcount,exact,exact
stop,0.0,2.0,8.0,11.0,-2.0,-8.0,-11.0,overcount,overcount,overcount
laughing,0.0,2.0,8.0,11.0,-2.0,-8.0,-11.0,overcount,overcount,overcount
rell,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
re,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,overcount,overcount,exact
going,0.0,1.0,3.0,0.0,-1.0,-3.0,0.0,overcount,overcount,exact
ve,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,overcount,overcount,exact
mom,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,overcount,overcount,exact
talked,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
missed,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
left,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
name,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
video,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
mama,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
will,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
person,0.0,2.0,0.0,0.0,-2.0,0.0,0.0,overcount,exact,exact
yeah,0.0,3.0,0.0,1.0,-3.0,0.0,-1.0,overcount,exact,overcount
let,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0,overcount,exact,overcount
d,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
cool,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
one,0.0,1.0,1.0,3.0,-1.0,-1.0,-3.0,overcount,overcount,overcount
don,0.0,4.0,4.0,5.0,-4.0,-4.0,-5.0,overcount,overcount,overcount
orin,0.0,3.0,0.0,0.0,-3.0,0.0,0.0,overcount,exact,exact
kidding,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,overcount,exact,exact
ice,0.0,2.0,1.0,1.0,-2.0,-1.0,-1.0,overcount,overcount,overcount
then,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,overcount,overcount,overcount
um,0.0,3.0,0.0,0.0,-3.0,0.0,0.0,overcount,exact,exact
yep,0.0,7.0,4.0,2.0,-7.0,-4.0,-2.0,overcount,overcount,overcount
than,0.0,0.0,2.0,0.0,0.0,-2.0,0.0,exact,overcount,exact
does,0.0,0.0,2.0,0.0,0.0,-2.0,0.0,exact,overcount,exact
when,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,exact,overcount,exact
ll,0.0,0.0,1.0,2.0,0.0,-1.0,-2.0,exact,overcount,overcount
orange,0.0,0.0,6.0,0.0,0.0,-6.0,0.0,exact,overcount,exact
sir,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,exact,overcount,exact
bounce,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,exact,exact,overcount
still,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,exact,exact,overcount
sure,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,exact,exact,overcount
